                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.74714,                0.98558,                0.70111,                0.99398,                0.97065,                0.70525,                0.83968,                0.67198,                 0.9428,                0.66369,                0.77844,                0.54211,                0.92592,                 1.6238,                 1.0207,                0.97042,              0.0015152,              0.0015152,              0.0015152
                     48,                0.70685,                 1.0319,                 0.6884,                0.96607,                  0.981,                0.75418,                0.88258,                0.71633,                0.88449,                0.75996,                0.80941,                0.59789,                0.81658,                  1.594,                 0.7969,                0.90715,              0.0015119,              0.0015119,              0.0015119
                     49,                0.69569,                0.93602,                0.68463,                0.99573,                0.96224,                0.75893,                0.86141,                0.70953,                0.91039,                0.72321,                0.77785,                0.58935,                0.81047,                   1.68,                0.78548,                0.86696,              0.0015086,              0.0015086,              0.0015086
                     50,                0.70003,                0.95112,                0.66428,                0.99196,                0.95899,                  0.717,                0.84862,                0.70624,                0.93768,                0.70509,                0.79342,                0.58251,                0.82432,                  1.808,                 0.8844,                0.86096,              0.0015053,              0.0015053,              0.0015053
                     51,                0.65254,                 0.9921,                0.64327,                0.98448,                0.91088,                0.73624,                0.84696,                0.71623,                   0.88,                0.71131,                0.76513,                0.56977,                0.80266,                 1.5636,                 0.7878,                 0.8152,               0.001502,               0.001502,               0.001502
                     52,                0.70955,                 0.9421,                0.64263,                0.98299,                0.94831,                 0.7253,                0.85697,                0.70867,                0.94908,                0.72437,                  0.794,                0.60613,                0.80016,                 1.6517,                0.75558,                  0.886,              0.0014987,              0.0014987,              0.0014987
                     53,                0.66036,                0.81491,                0.61907,                0.97978,                0.97345,                0.73534,                0.84797,                0.71353,                0.95456,                0.71503,                0.79598,                0.59494,                0.80762,                 1.7814,                0.73407,                 0.9103,              0.0014954,              0.0014954,              0.0014954
                     54,                0.67908,                0.96284,                0.61281,                0.95918,                0.97022,                0.70707,                0.86648,                0.68633,                0.93804,                0.67932,                0.77293,                 0.5642,                0.78988,                 1.8899,                0.79537,                0.84297,              0.0014921,              0.0014921,              0.0014921
                     55,                0.65525,                0.88242,                0.60129,                0.97878,                0.94255,                0.77455,                0.86244,                0.68038,                0.97726,                0.72693,                0.80092,                0.59174,                0.86395,                  1.837,                0.75679,                0.96539,              0.0014888,              0.0014888,              0.0014888
                     56,                0.68997,                0.93498,                 0.6338,                0.98269,                0.88374,                0.79836,                0.85347,                0.70888,                0.99025,                0.75074,                0.81119,                0.61189,                0.76416,                 1.6323,                0.69965,                0.79161,              0.0014855,              0.0014855,              0.0014855
                     57,                 0.6611,                 0.8182,                0.62251,                0.95408,                0.89747,                0.79502,                0.86479,                0.71578,                0.97761,                0.75074,                0.81481,                0.60354,                0.77455,                 1.5396,                 0.7168,                0.80201,              0.0014822,              0.0014822,              0.0014822
                     58,                0.67974,                0.94703,                0.61225,                0.96465,                0.91275,                0.80902,                0.86572,                0.65308,                0.94293,                0.72693,                0.78847,                0.52817,                0.91674,                 1.5256,                 0.7613,                 1.0759,              0.0014789,              0.0014789,              0.0014789
                     59,                0.69839,                0.97434,                0.62479,                  0.969,                0.90232,                0.79836,                0.85383,                0.66964,                 0.8969,                 0.7575,                0.79735,                0.55629,                0.87317,                 1.6816,                0.79878,                0.93878,              0.0014756,              0.0014756,              0.0014756
                     60,                0.68445,                0.87292,                0.61941,                0.97415,                0.97451,                0.72583,                0.82954,                0.69349,                0.93347,                0.69122,                 0.7666,                0.56846,                0.79143,                 1.8908,                0.87065,                0.91045,              0.0014723,              0.0014723,              0.0014723
                     61,                0.69757,                0.84873,                0.67448,                 1.0104,                0.95575,                0.71503,                0.81257,                 0.6662,                0.91228,                0.69122,                0.75494,                0.56104,                0.78942,                 1.9331,                0.94099,                0.89626,               0.001469,               0.001469,               0.001469
                     62,                0.68975,                0.90793,                0.61512,                0.97144,                 0.9674,                0.71503,                0.82156,                0.66644,                0.92337,                0.69122,                 0.7702,                0.57566,                 0.8818,                 1.9484,                0.88102,                 1.0256,              0.0014657,              0.0014657,              0.0014657
                     63,                0.64238,                0.89544,                 0.5662,                0.96637,                0.94408,                0.76265,                0.84708,                0.67983,                0.88734,                0.72693,                0.78947,                0.58985,                0.76954,                  1.971,                0.81657,                0.93688,              0.0014624,              0.0014624,              0.0014624
                     64,                0.65154,                0.86953,                0.58361,                0.94842,                 0.9587,                0.76265,                0.86537,                0.66064,                0.89441,                0.71503,                0.78115,                0.57145,                0.84316,                 1.8456,                0.84208,                 1.0422,              0.0014591,              0.0014591,              0.0014591
                     65,                0.65043,                0.97021,                0.58831,                0.95466,                0.96737,                0.75993,                0.87209,                0.66228,                0.93192,                0.72693,                0.79206,                0.58159,                0.82713,                 1.7776,                0.83665,                 1.0012,              0.0014558,              0.0014558,              0.0014558
                     66,                0.67825,                  0.854,                0.61994,                0.98362,                 0.9682,                0.74528,                0.87403,                0.69688,                0.94782,                0.73338,                0.80825,                0.59325,                0.82694,                 1.6066,                 0.7977,                0.90093,              0.0014525,              0.0014525,              0.0014525
                     67,                0.63872,                0.86746,                0.57676,                0.95905,                0.92071,                0.80459,                0.87423,                0.65491,                 0.8991,                0.73905,                0.80154,                 0.5542,                0.86118,                 1.5899,                0.81743,                0.98081,              0.0014492,              0.0014492,              0.0014492
                     68,                0.63459,                0.85067,                0.58304,                0.94944,                 0.9294,                0.81666,                0.87745,                0.58195,                0.89301,                 0.7481,                0.80953,                0.51219,                 1.0432,                 1.6453,                 1.0416,                  1.026,              0.0014459,              0.0014459,              0.0014459
                     69,                0.65541,                 0.9237,                0.57187,                0.96704,                0.92778,                0.77455,                0.87321,                0.67909,                 0.8662,                0.72693,                0.79337,                0.57744,                0.83153,                 1.6011,                0.79891,                 0.9362,              0.0014426,              0.0014426,              0.0014426
                     70,                 0.6226,                0.90595,                0.57552,                0.93467,                 0.9679,                 0.7912,                0.86081,                0.72413,                 0.8998,                 0.7437,                0.81477,                0.59521,                0.76457,                  1.644,                 0.7557,                   0.84,              0.0014393,              0.0014393,              0.0014393
                     71,                0.61325,                0.73928,                0.55421,                0.94821,                0.97638,                 0.7277,                 0.8629,                0.73863,                0.97193,                0.70312,                0.81712,                0.61377,                 0.6828,                 1.5021,                0.71942,                0.73964,               0.001436,               0.001436,               0.001436
                     72,                0.66645,                0.92752,                0.59215,                 0.9414,                0.96561,                0.74563,                0.87143,                0.74109,                0.91808,                0.71503,                0.77987,                0.60162,                0.70485,                 1.4031,                0.71557,                 0.7691,              0.0014327,              0.0014327,              0.0014327
                     73,                0.65304,                0.93351,                0.59395,                0.94529,                0.94775,                0.81027,                0.88098,                0.74748,                0.92071,                0.71503,                0.77639,                0.58977,                0.69468,                 1.3836,                0.72217,                0.78672,              0.0014294,              0.0014294,              0.0014294
                     74,                 0.6315,                0.78988,                0.57947,                0.96192,                0.96411,                0.81027,                0.87645,                  0.727,                0.90405,                0.75074,                0.80302,                0.59167,                0.70292,                 1.4276,                0.72297,                 0.8102,              0.0014261,              0.0014261,              0.0014261
                     75,                 0.6377,                0.84772,                0.54555,                0.94533,                  0.914,                0.82217,                0.87324,                0.71797,                 0.8681,                0.75074,                0.79077,                0.58734,                0.75352,                 1.4977,                 0.7291,                0.85987,              0.0014228,              0.0014228,              0.0014228
                     76,                0.59569,                0.77572,                0.52491,                0.96381,                0.96023,                0.76931,                0.86086,                0.67146,                0.92389,                0.74674,                0.80119,                0.56476,                0.77368,                 1.6429,                0.75087,                0.91227,              0.0014195,              0.0014195,              0.0014195
                     77,                0.62205,                0.90424,                0.53222,                0.97321,                0.83966,                0.83408,                 0.8563,                0.67921,                0.88102,                0.75074,                0.80421,                0.57537,                0.80789,                  1.811,                0.74248,                0.89702,              0.0014161,              0.0014161,              0.0014161
                     78,                 0.6319,                0.87508,                0.55339,                0.94393,                0.87399,                0.85822,                0.88445,                0.68714,                0.90571,                0.74502,                0.79018,                0.61148,                0.79634,                 1.6705,                 0.7469,                0.81697,              0.0014128,              0.0014128,              0.0014128
                     79,                0.60303,                0.90333,                0.54641,                 0.9369,                0.83815,                0.84729,                0.86891,                0.72274,                0.91842,                0.73884,                0.76132,                0.59714,                0.71314,                 1.5877,                0.70911,                0.79944,              0.0014095,              0.0014095,              0.0014095
                     80,                0.60656,                0.81825,                0.53436,                0.93735,                0.95781,                0.79013,                0.86897,                0.72718,                 0.9043,                0.76732,                0.82155,                0.61389,                0.67936,                 1.4105,                 0.6746,                0.76997,              0.0014062,              0.0014062,              0.0014062
                     81,                0.61552,                0.88609,                0.53329,                0.94879,                0.84903,                0.78473,                0.86127,                0.70635,                0.91435,                 0.6756,                0.79031,                0.61294,                0.77642,                  1.394,                0.75952,                0.81745,              0.0014029,              0.0014029,              0.0014029
                     82,                0.62106,                0.85834,                0.53801,                0.93423,                0.86706,                0.83597,                0.88725,                0.73741,                0.85298,                0.70546,                0.76609,                0.60937,                0.68988,                 1.3776,                 0.6907,                0.80548,              0.0013996,              0.0013996,              0.0013996
                     83,                0.61062,                0.77573,                0.52105,                0.94477,                0.87474,                0.83842,                0.88017,                0.72858,                0.96988,                0.66741,                 0.7639,                0.59678,                0.72304,                 1.3749,                 0.7533,                 0.8248,              0.0013963,              0.0013963,              0.0013963
                     84,                0.66464,                 0.8599,                0.55757,                0.97634,                0.96159,                0.79836,                0.89514,                0.73558,                0.91163,                0.76265,                0.83128,                 0.6254,                0.71479,                 1.3302,                0.71887,                0.78876,               0.001393,               0.001393,               0.001393
                     85,                0.59971,                0.83694,                0.50876,                0.93727,                0.96261,                0.79836,                0.89875,                0.73554,                0.92927,                0.77455,                0.84893,                0.61579,                0.71836,                 1.2833,                0.71895,                0.79587,              0.0013897,              0.0013897,              0.0013897
                     86,                0.62243,                0.80182,                0.52469,                0.93813,                0.92709,                0.81192,                0.88662,                0.74057,                0.85611,                0.75074,                0.80399,                0.62077,                0.71512,                 1.2997,                0.68849,                0.76108,              0.0013864,              0.0013864,              0.0013864
                     87,                0.59787,                0.88654,                0.51995,                0.92489,                0.86853,                0.87957,                0.88732,                0.70763,                0.91709,                0.71503,                  0.787,                0.60391,                 0.7535,                 1.5206,                0.69959,                0.77333,              0.0013831,              0.0013831,              0.0013831
                     88,                0.59498,                0.89459,                0.51813,                0.94372,                0.96219,                0.78646,                0.87385,                0.71296,                0.89254,                0.73884,                0.79726,                0.61571,                0.74911,                 1.4518,                 0.6622,                0.78179,              0.0013798,              0.0013798,              0.0013798
                     89,                0.56837,                0.85194,                 0.4846,                 0.9237,                0.96965,                0.79284,                0.87821,                0.72405,                0.87955,                0.72693,                0.77845,                0.61765,                0.72475,                 1.3869,                0.64873,                0.76665,              0.0013765,              0.0013765,              0.0013765
                     90,                0.61569,                0.78545,                0.54306,                0.93782,                 0.9166,                0.80056,                0.86571,                0.74026,                0.86128,                0.75074,                0.79749,                 0.6059,                0.70098,                 1.4983,                0.62506,                0.74913,              0.0013732,              0.0013732,              0.0013732
                     91,                0.64805,                0.90316,                0.54368,                 0.9227,                0.96672,                0.82217,                0.87956,                0.75435,                0.92401,                0.76024,                0.82006,                0.60419,                0.66979,                 1.6363,                0.63023,                 0.7424,              0.0013699,              0.0013699,              0.0013699
                     92,                0.58162,                0.74542,                0.51052,                0.93051,                0.95913,                0.82878,                0.88056,                0.74377,                0.90066,                0.73884,                0.78558,                0.57601,                0.71732,                 1.7445,                0.66286,                 0.8141,              0.0013666,              0.0013666,              0.0013666
                     93,                0.61534,                0.90307,                0.52556,                0.94325,                0.94595,                0.81027,                0.88194,                0.73111,                0.91883,                0.73884,                0.80337,                0.57755,                0.74707,                 1.7539,                0.66858,                 0.8394,              0.0013633,              0.0013633,              0.0013633
